"","gene_id","gene_type","logFC","AveExpr"
"9340","RPL21P17","processed_pseudogene",0.32438909854556897,-1.3878354077163797
"8858","FEV","protein_coding",0.302184010940683,-0.751950724350771
"12772","RP11-10G12.1","processed_pseudogene",0.19783781083827698,2.33466607494007
"998","RP1-65J11.1","lincRNA",-0.23913213961166896,0.017860275963818
"2012","RNU6-161P","snRNA",0.21061377581152105,1.3819908774825502
"9173","AC114814.4","lincRNA",0.25928171080282897,0.44307277050424004
"9191","ACKR3","protein_coding",0.252822291890159,4.534627827452111
"7903","Unknown","lincRNA",0.21762793320381602,0.7155874540559409
"1525","RP4-666O22.3","processed_pseudogene",-0.286181289782978,1.35462826519486
"704","RP1-224A6.3","lincRNA",0.263617807067129,1.50275591466599
"6327","Unknown","miRNA",0.26177952243933,0.518076182409193
"7790","TEX41","lincRNA",0.23224451926813502,3.34575495366021
"16609","RP11-772E11.1","processed_pseudogene",-0.262099718173388,1.28128094706422
"8916","AC114765.2","lincRNA",0.26976887667431,-0.24140234366077398
"9776","HSPD1P6","transcribed_processed_pseudogene",0.267173507916118,0.605981645590227
"4785","LIN9","protein_coding",0.261343274100928,0.708994955202904
"4049","RP11-317P15.6","processed_pseudogene",0.217519343962522,-0.20419829940870102
"8075","Unknown","misc_RNA",0.268392335835612,0.37681795973567
"4845","RP11-245P10.6","lincRNA",-0.260613555436898,-0.5695543269827529
"10615","RP11-331K15.1","lincRNA",-0.23524637736529502,0.22758543504243203
"18734","RP3-468B3.4","processed_pseudogene",0.244847586421411,-0.573349141139931
"2889","AC239860.1","transcribed_unprocessed_pseudogene",0.242317804413046,1.85436262306458
"3882","RP3-436N22.3","antisense",0.3901463642427371,-1.46259949832503
"1790","RP11-430G17.3","lincRNA",0.259315481454118,1.7387644567298999
"10968","RP11-484M3.5","protein_coding",0.22742348531973197,-1.22667627913882
"15848","RP11-1415C14.4","unprocessed_pseudogene",0.221644917630612,2.64903651330558
"3051","ANP32E","protein_coding",0.246702173056857,-0.0450635851723397
"15722","RP11-631M6.3","processed_pseudogene",0.27035725773406,1.48278742485367
"9978","LARS2","protein_coding",0.260914111778024,-0.323626691432495
"14886","Y_RNA","misc_RNA",0.23526510975241896,1.5815099078089498
"15721","ZSWIM6","protein_coding",0.35905673058739795,-1.6153137762686398
"12583","RP11-1338A24.1","lincRNA",0.196208300775388,1.20609061764521
"4375","RP11-203F10.1","processed_pseudogene",0.262519736752925,0.40321001240836607
"15334","MIR4279","miRNA",0.324071175388273,5.635526698608871
"14543","RNU6-284P","snRNA",0.267027924462047,0.22585587369762303
"5888","AC012593.1","lincRNA",0.225777183231762,1.22734542741077
"18599","C6orf48","protein_coding",0.244744317556923,-0.103534510910035
"6664","RP11-60H5.1","lincRNA",0.205933950301542,1.47456213232889
"14005","RNU4-33P","snRNA",0.237592331699137,-0.923456125359018
"12720","FGFBP1","protein_coding",0.22710247547392604,-0.7472559984336321
"11055","PDIA5","protein_coding",-0.259398440659519,-1.0939253359307801
"10415","PSMD6-AS2","antisense",0.23466821437900398,-0.9922164776674021
"14868","RARRES2P4","processed_pseudogene",-0.294401956144321,-1.4059789423370301
"2906","AC243547.1","protein_coding",0.18978536666633103,6.029075095474959
"18534","ZDHHC20P2","processed_pseudogene",0.29838005990328603,-0.9893380756847121
"8452","RNU6-1029P","snRNA",0.19922648970164605,2.0946112502337
"7500","RNU6-395P","snRNA",0.193719855519229,5.91125807103817
"16145","RP11-72L22.1","lincRNA",0.295099838128811,-0.6719778866449689
"8834","USP37","protein_coding",0.27232175790051,-0.0500026399896841
"4445","RP11-534L20.5","lincRNA",0.21796280439808302,0.482604073065716
"15281","CDH9","protein_coding",0.28469429595583695,-0.09314353049210301
"9529","RHBDF1P1","processed_pseudogene",0.306163630491206,-1.4132221085454602
"1777","RN7SL475P","misc_RNA",0.214274430489494,3.367053757608
"18726","LINC00336","lincRNA",0.20120355996798,4.01051088607382
"3938","PTP4A1P7","processed_pseudogene",0.23328600517613396,-0.670561060241885
"4598","PROX1-AS1","processed_transcript",0.22230206939164002,0.858131156078091
"15360","CTD-2233C11.2","lincRNA",0.21671291961419697,0.952671489231378
"14238","Y_RNA","misc_RNA",0.167515720734982,7.84622153547222
"15285","RP11-560A7.1","processed_pseudogene",0.293142351141758,4.62750471345327
"11895","NAALADL2-AS2","antisense",0.232211418650226,-1.3499275382923601
"9043","RNU6-268P","snRNA",0.29995170506505703,0.890911778031255
"5681","PTRHD1","protein_coding",0.25541160691103,-1.33519444076792
"14641","MIR548T","miRNA",0.24074341408613198,0.165150580508905
"14547","RP11-366M4.3","protein_coding",0.286472730700268,-1.00031558363132
"15952","CTD-2235C13.1","processed_pseudogene",0.20726857753333103,2.5136788050657
"4378","PLEKHA6","protein_coding",0.27420669973663797,0.678491910281985
"14310","Unknown","TEC",0.20676614974891197,2.43232159273823
"18562","PRRC2A","protein_coding",0.193045121539305,0.26148280476343
"6634","RN7SL201P","misc_RNA",0.264502278429468,-1.035940274432
"6992","RNA5SP101","rRNA_pseudogene",0.237165962584448,-0.134827552679816
"5248","OR14A2","protein_coding",0.216556312331721,-0.0234268935736769
"137","NADK","protein_coding",0.220706888652994,0.994542062260218
"16776","CTB-36O1.3","processed_pseudogene",0.25497600730859304,-0.0397506682348917
"2673","RP4-663N10.2","unprocessed_pseudogene",0.17864233524102102,2.19482023476934
"15006","PAPD7","protein_coding",0.18354903661508198,3.2218110663014703
"10212","IQCF6","protein_coding",0.23277350778446898,1.1284932680105602
"1966","Unknown","lincRNA",0.22104284169926003,-0.706503724490792
"2553","NRBF2P3","processed_pseudogene",0.23259320964455604,1.62249034156602
"15431","GDNF-AS1","antisense",0.20591196304965897,2.6098174754900696
"4086","GS1-120K12.4","lincRNA",0.22032655808578397,-0.39855264366353294
"703","RNU6-776P","snRNA",0.20911381261625897,3.03490463541685
"14158","Unknown","snRNA",0.208577905528444,2.10781004262949
"12017","DCUN1D1","protein_coding",0.27756627787390503,0.8388711119339709
"8003","CYP2C56P","processed_pseudogene",0.23133099168670002,4.19556922958424
"13426","RP11-44F21.3","antisense",-0.22642540510323103,-0.549828401042692
"6932","UBTFL5","unprocessed_pseudogene",0.19959376358185002,1.0781721983924701
"11751","RP13-526J3.1","processed_pseudogene",0.444545017299581,-1.26295392836722
"14269","GYPE","protein_coding",0.18905671289289602,0.669040986571603
"15994","ZBED3-AS1","antisense",0.22849657288289302,0.924052830114124
"835","SLC30A2","protein_coding",0.20387434443736396,-0.575972598463551
"18748","RPS10","protein_coding",0.21869465806898802,0.267030746113699
"3313","PBXIP1","protein_coding",0.232084930452184,0.9058690521835259
"9984","Unknown","TEC",0.256911567441595,1.8702231197708798
"6495","RAB11FIP5","protein_coding",0.21713057825811397,-1.27229021944265
"3583","RP11-312J18.3","processed_pseudogene",0.185487238553166,0.8487155509211729
"6718","KDM3A","protein_coding",0.18045322710749398,3.51583011625693
"2317","RP11-286B14.1","lincRNA",-0.23876717823823496,-1.22508938531655
"15066","TAS2R1","protein_coding",-0.27657738412474603,5.9670359286441395
"2286","RP5-837O21.2","processed_pseudogene",0.20073312074755803,1.21614893308351
"1902","RP11-393N21.1","processed_pseudogene",0.254679447655552,-1.18618291193303
"10249","RP11-168J18.6","processed_pseudogene",-0.203284421716934,-1.25115262129969
"7364","AC010982.1","lincRNA",0.25671558639880804,1.02176305811323
"5702","TPM3P7","processed_pseudogene",0.242374054842487,-1.1285896698666298
"14551","FAM218BP","processed_pseudogene",-0.229153238771726,-1.13672126432948
"11805","MECOM","protein_coding",0.18803396468357,0.809016082948897
"8735","Unknown","miRNA",0.22244150979385302,-1.35312146462084
"16074","CKMT2","protein_coding",0.273186377023664,2.60180065965514
"17873","MIR3691","miRNA",0.20919511903229002,0.7269273063984241
"2013","RP11-415A20.1","lincRNA",0.20446540728630103,0.251066210125646
"16270","Y_RNA","misc_RNA",0.287956657081695,-1.46227381402518
"2270","FNBP1L","protein_coding",-0.209039607786793,4.22540439272585
"4056","RP11-505O17.1","processed_pseudogene",0.21988466879036497,0.21882695886087697
"12894","RP11-177C12.4","processed_pseudogene",0.18989733039926504,2.55065126356088
"908","FGR","protein_coding",0.238257687508903,-1.30825925976454
"2096","PRKACB","protein_coding",0.21926982132938697,4.38990919790206
"5316","RNU6-1205P","snRNA",0.173564024385202,5.561409059891809
"13568","Unknown","processed_pseudogene",0.23865515621988,-1.27490105103516
"6088","BCYRN1","scRNA",0.204357528803083,1.5080329608726102
"612","MIR4695","miRNA",0.212743562831837,0.4604693966719
"1868","DNAJC6","protein_coding",0.20686349079266197,1.03015551825701
"1439","CCNB1IP1P1","processed_pseudogene",0.184834841253621,2.45006254070596
"6322","LINC00309","lincRNA",0.31716348003455797,-1.55475768458813
"4316","RP11-175B9.2","transcribed_processed_pseudogene",0.25691919171646,-1.25098771281394
"14968","CTD-2012M11.3","antisense",0.243307411626913,-0.7585809204759251
"7265","BUB1","protein_coding",-0.248275211867924,7.35688700610782
"3222","RNU6-160P","snRNA",0.300481173618424,-1.25489873146548
"15499","RP11-116B13.1","processed_pseudogene",0.22445708428861105,-1.10880276916896
"12758","SLIT2-IT1","sense_intronic",-0.212724114074018,-1.02597677700609
"7627","Unknown","unprocessed_pseudogene",0.22774482305662802,0.981886537135004
"5084","RP11-438O11.1","processed_pseudogene",0.19606061639914799,-0.26481220527335503
"7563","RP11-803A13.1","processed_pseudogene",0.17369349053436903,1.37970247563463
"13901","RP11-255I10.1","processed_pseudogene",0.31158275338539,-1.6321591220344498
"12564","AFAP1-AS1","antisense",0.20447746992161397,0.244422922644262
"18492","RN7SKP186","misc_RNA",0.241945967045315,-0.503013939220758
"9016","DNER","protein_coding",0.401619567663876,-1.15839042497104
"3666","RN7SL861P","misc_RNA",0.21793486399383802,0.316407486253455
"9192","AC011286.1","lincRNA",0.270859862915781,-0.232151998401215
"2937","PDIA3P1","transcribed_processed_pseudogene",0.19060889517249902,3.14084011405555
"1867","RP4-700A9.1","processed_pseudogene",0.182197760292093,1.6269587876326599
"13271","GNRHR","protein_coding",0.17796829873473802,2.66865862052752
"17607","RP11-1334A24.6","antisense",0.18655608337633103,1.46102695467323
"1194","EPHA10","protein_coding",0.259542081289119,1.1025894447808
"14526","RP11-580J4.1","processed_pseudogene",0.225692759589112,-0.16995766982036598
"6183","AC012358.4","processed_pseudogene",0.220272282212573,0.649241252965972
"5617","AC012065.4","lincRNA",0.22950701902563603,4.89125859244666
"8525","TRAK2","protein_coding",0.190688466138829,0.724549796234637
"15120","CTD-2042D5.1","processed_pseudogene",0.226315611573704,0.588016588036942
"7248","Unknown","transcribed_unprocessed_pseudogene",0.227809055927227,0.9897441533944421
"5701","ASXL2","protein_coding",-0.22994541158310897,0.620349493806552
"255","Unknown","lincRNA",0.172357912476866,-0.204885062546562
"11945","ZNF639","protein_coding",0.181975029529713,5.90568623863499
"14806","RP11-173M11.2","processed_pseudogene",0.291393974608926,-1.22641722941526
"3089","RP11-316M1.12","antisense",0.26122393894136303,-1.1777444024786798
"2550","RP11-284N8.3","lincRNA",0.19428824286350602,0.20082014872333198
"5381","ALLC","protein_coding",0.19778946905580397,0.4633575551017489
"5747","C2orf53","protein_coding",0.18359559991147198,1.4742458658432498
"1848","Unknown","lincRNA",0.17987884924439804,2.76576481512944
"7124","AC068535.2","lincRNA",-0.206226082663612,3.89921342074217
"7473","AC114783.1","protein_coding",0.21523252116788197,1.09504586452539
"18691","SLC39A7","protein_coding",0.210549137718423,1.91046391913714
"523","ZBTB17","protein_coding",0.198099348960809,-1.2941027721648202
"11316","HMGB3P13","processed_pseudogene",0.21403619508084196,2.9552268322404505
"2516","GSTM3","protein_coding",0.20886607397395604,5.05360037314176
"10495","UBE2Q2P9","processed_pseudogene",0.17222138007454,5.710138764356519
"11493","RP11-232M24.1","lincRNA",0.210640460189186,1.37434236267142
"12984","BEND4","protein_coding",0.19441391115147896,0.9825881771729641
"6769","FOXI3","protein_coding",0.21607664991663397,1.34601653248851
"3489","Unknown","protein_coding",0.26228743662431897,0.30821852260614896
"11081","Unknown","misc_RNA",0.181774217501323,0.10972389465827699
"9524","RP11-536I6.1","lincRNA",0.209853411470078,3.1838848781728397
"16623","CTD-2195M15.1","processed_pseudogene",-0.267039803629274,0.9230960787774891
"8022","TTC21B-AS1","processed_transcript",0.166722983545706,1.84149465958125
"7781","GTDC1","protein_coding",0.176058843128871,3.3467802685547503
"12903","RP11-617D20.2","lincRNA",0.206594241795263,2.95709929052199
"13738","ADH6","protein_coding",0.20538124208428896,1.986145357593
"2832","RP11-403I13.10","processed_pseudogene",0.179515831304679,8.16244562572326
"140","CALML6","protein_coding",0.272256012220157,-1.4379291823272198
"5121","MAP1LC3C","protein_coding",0.212664536463857,0.252389111313003
"1531","RP11-330M19.1","lincRNA",-0.209765923811219,5.38999754285515
"11625","GPR149","protein_coding",0.21777381082351602,-0.334996018563009
"7007","Unknown","lincRNA",0.185444316560188,0.597685047939695
"17151","GRPEL2","protein_coding",-0.19288670000941002,4.55843727968069
"8597","AC125238.2","processed_pseudogene",0.195958572660922,1.34358723602972
"2865","Unknown","lincRNA",-0.18558809430216,2.14408214555653
"8343","GULP1","protein_coding",-0.194770632832697,-1.3169056618658401
"5763","ZNF513","protein_coding",0.172492431058729,1.8936669084828401
"14151","CTD-2012I17.1","lincRNA",0.19599163345505302,0.648883573319758
"16196","CTD-2061E19.6","antisense",0.263058701324642,-1.1989175280152702
"10011","SNORD77","snoRNA",0.16942973000726302,5.297850875925519
"1471","TMA16P2","processed_pseudogene",0.21864311522334198,-1.38216052973457
"920","RP3-426I6.5","sense_intronic",0.14748658781729299,0.7054486115524771
"13615","HSD17B11","protein_coding",0.17963294683013,3.80118411866071
"17433","MIR378E","miRNA",0.19808657903721302,2.32613824484389
"8749","BARD1","protein_coding",0.20284242668980104,-0.0586857549861722
"3377","KIAA0907","protein_coding",0.21624083504394898,3.12518751176993
"8252","RP11-171I2.5","antisense",0.36063861808122394,-1.1629468377016898
"14829","RP11-565A3.2","lincRNA",0.21168820816544498,0.672948755833571
"5514","RN7SL674P","misc_RNA",0.24171283217108896,1.01023737840508
"5904","STRN","protein_coding",-0.17849032685198102,6.83862343764413
"8473","AC093590.1","lincRNA",-0.21876068284560798,-1.34126511906296
"10174","LSMEM2","protein_coding",0.30482112109601694,-1.4906305353204399
"6853","IGKV3D-20","IG_V_gene",0.220685299925095,0.15502229842308202
"9388","LMCD1-AS1","antisense",0.18784510174719396,-1.08397757269924
"1996","RP4-595K12.1","processed_pseudogene",0.206609827388088,-0.817636166921997
"3481","OR10K1","protein_coding",0.170901979001883,1.41974393564746
"10029","Unknown","processed_pseudogene",0.158443995259158,5.274509222333481
"9344","CNTN4-AS2","lincRNA",-0.19005870188591897,4.36154390051334
"9262","ANKMY1","protein_coding",0.168058942728027,0.926679651253316
"14463","TDO2","protein_coding",0.21318801618818398,-1.39802231367593
"7626","MED15P3","processed_pseudogene",0.23142964943803102,0.843637389506616
"8531","AC007282.6","unprocessed_pseudogene",0.173229625271937,2.20432547422284
"1904","HNRNPCP9","processed_pseudogene",0.18773605035508104,1.27811924598407
"15036","RP11-480D4.5","unprocessed_pseudogene",0.17529602654853998,1.68900981525482
"12542","Unknown","unprocessed_pseudogene",0.18494098025806602,-0.46813115762103796
"4843","RP5-1139B12.3","antisense",0.18331638387492102,2.5772483935102297
"11457","U2SURP","protein_coding",0.18373775897248998,1.03143064665426
"3189","KPRP","protein_coding",0.19056548203728102,3.01182660615517
"9865","RPL14","protein_coding",0.249334587200934,-1.34303965423876
"5930","CYP1B1-AS1","antisense",0.30006844535886606,-1.58611095143976
"602","Unknown","TEC",0.24229524290276003,-1.52946626341397
"8747","VWC2L-IT1","sense_intronic",0.23344588181333198,-1.61496236469318
"8129","SP3","protein_coding",0.20647801614018998,-0.36555940668470704
"3368","YY1AP1","protein_coding",0.171629680258499,0.360148172131624
"4927","RP5-858B6.3","antisense",0.19479165288929198,1.25774110786111
"11822","KRT18P43","processed_pseudogene",0.20747130161056002,-1.3202701216356298
"4453","RP11-343H5.4","processed_pseudogene",0.22528429007312,0.385670863867796
"11359","KRT8P36","processed_pseudogene",0.196776427667143,-1.45051198307156
"11996","Unknown","misc_RNA",0.204778142669552,-1.23266245658563
"11167","RNU2-37P","snRNA",-0.184082127427481,0.9307626811744828
"8149","AC018890.6","antisense",-0.20488821051693398,0.23654592166318103
"6302","OTX1","protein_coding",-0.19040939741825197,4.91917254254743
"4856","HIST3H2BA","unitary_pseudogene",0.23516438586444396,0.510973506707126
"9992","CXCR6","protein_coding",0.24238416088123999,-1.55699906763827
"14245","RP11-208N20.1","lincRNA",0.23235292148482004,0.567707517285941
"6528","BOLA3","protein_coding",0.162245206715759,2.86456198366916
"14605","RNY4P17","misc_RNA",0.265914191654536,-1.4174983519923703
"8296","RPL31P15","processed_pseudogene",0.213602957496647,1.4831215351302702
"15877","Unknown","antisense",0.22468050620026897,-0.9109212571440409
"6092","Unknown","misc_RNA",0.26720494214300605,0.781258592703186
"15581","PELO","protein_coding",0.19204735715012,-0.5536625133323111
"9991","FYCO1","protein_coding",0.21365354999449,-0.7724754925766278
"15840","RP11-98J23.2","unprocessed_pseudogene",0.203978969647901,-1.3176412345189699
"17227","RP11-54C4.1","transcribed_processed_pseudogene",0.19738831236865803,-0.312111496126324
"1614","PDCL3P6","processed_pseudogene",0.235549643337215,1.2861838595085702
"554","U1","lincRNA",0.204538955721494,3.38817933609856
"9989","CCR9","protein_coding",0.185212732490061,0.409314497631851
"10927","DRD3","protein_coding",0.18675822227776104,0.4881030150052229
"2980","Y_RNA","misc_RNA",0.162689737097861,2.13273072670073
"5623","GDF7","protein_coding",0.241590442438348,-1.2301240362063601
"5813","AC105398.3","antisense",0.188394431782682,-0.378388373804468
"18942","RP11-256G5.1","processed_pseudogene",0.15620353639731302,4.74431193732156
"14190","RP11-173E2.2","lincRNA",0.20199255439499103,-1.39539231850968
"2672","NGF","protein_coding",0.16048985292428303,1.41619296469655
"16639","CTC-573M9.1","sense_intronic",0.165695552243138,0.12401900923029101
"18661","HLA-DQA2","protein_coding",0.17916261814243897,0.58808058531523
"8074","AC007277.3","antisense",0.21411483368477102,-0.0297868985817008
"16174","RP11-116A1.1","lincRNA",0.24736686837423802,-1.50449753136137
"1313","FOXO6","protein_coding",0.175562727981053,0.40683802777722405
"9151","AC114812.10","unprocessed_pseudogene",0.209513160871044,0.24796721729751603
"1654","RP5-1024G6.2","antisense",-0.179883385896746,5.6758322583308205
"17835","RP11-420L9.4","sense_overlapping",0.18046087407614897,4.01004304329179
"12047","HTR3C","protein_coding",0.20166002669329997,-0.688070186851387
"14956","Unknown","lincRNA",-0.202931325575924,-0.989814593106324
"2046","PTGFR","protein_coding",0.16621422921732398,0.719272677760168
"11563","EIF2A","protein_coding",0.279563920147346,-0.608734401390117
"17703","RP11-252I14.1","processed_pseudogene",0.23368353162403502,-0.28522447524184
"14213","FTH1P24","processed_pseudogene",0.148033951493641,0.735861460161773
"13485","CXCL13","protein_coding",0.161617457070618,2.4850113508077003
"7094","IL1R2","protein_coding",0.18228324593229603,3.84979719849881
"12771","GPR125","protein_coding",0.15800741414281602,1.59428047645851
"15496","GHR","protein_coding",0.16465986749143802,2.22341661267025
"8273","FTH1P20","processed_pseudogene",0.252643763217957,-1.36338808434646
"718","ZBTB40-IT1","sense_intronic",-0.23765035873537999,0.66702340476263
"6394","RP11-474G23.1","protein_coding",-0.20783217705206,0.999439454632834
"15111","RNU6-429P","snRNA",0.18842231746282603,3.2239402919299702
"6972","CIAO1","protein_coding",0.17602394547317698,0.644653030221435
"13774","RP11-499E18.1","lincRNA",0.216183223697373,2.82344477547278
"1159","SH3D21","protein_coding",0.17336652585293502,1.49414795323509
"7904","NR4A2","protein_coding",0.187357025736424,2.03860422794409
"1799","RPS15AP7","processed_pseudogene",0.22684974284700402,-1.1969878028648797
